K,H,Recall,Precision
125,15,83,14
126,15,80,14
127,15,78,19
128,15,86,15
129,15,86,18
130,15,75,15
131,15,78,14
132,15,87,18
133,15,91,18
134,15,83,17
135,15,75,14
136,15,59,13
137,15,81,17
138,15,76,16
139,15,69,14
140,15,89,18
141,15,90,18
142,15,65,13
143,15,77,16
144,15,87,19
145,15,76,16
146,15,69,14
147,15,77,19
148,15,86,16
149,15,91,20
150,15,86,18
151,15,89,19
152,15,86,17
153,15,86,19
154,15,80,19
155,15,75,16
156,15,86,18
157,15,85,18
158,15,90,14
159,15,83,15
160,15,87,16
161,15,90,20
162,15,83,17
163,15,67,15
164,15,90,18
165,15,87,18
166,15,65,12
167,15,83,17
168,15,89,21
169,15,80,17
170,15,68,15
171,15,89,25
172,15,55,12
173,15,81,18
174,15,89,17
125,16,83,14
126,16,80,14
127,16,78,18
128,16,86,15
129,16,86,18
130,16,76,14
131,16,78,14
132,16,89,18
133,16,91,18
134,16,85,17
135,16,75,14
136,16,61,13
137,16,83,17
138,16,83,17
139,16,69,14
140,16,89,17
141,16,90,18
142,16,65,13
143,16,77,16
144,16,89,17
145,16,78,16
146,16,69,14
147,16,77,18
148,16,86,16
149,16,91,20
150,16,86,18
151,16,90,18
152,16,86,17
153,16,87,19
154,16,83,19
155,16,75,14
156,16,90,18
157,16,85,18
158,16,90,14
159,16,83,15
160,16,87,16
161,16,90,20
162,16,83,17
163,16,75,16
164,16,90,18
165,16,87,18
166,16,65,12
167,16,83,17
168,16,89,21
169,16,80,17
170,16,69,15
171,16,89,25
172,16,57,12
173,16,82,18
174,16,89,16
125,17,83,13
126,17,80,13
127,17,78,17
128,17,86,14
129,17,87,16
130,17,77,14
131,17,79,14
132,17,89,15
133,17,91,17
134,17,85,16
135,17,75,14
136,17,61,12
137,17,84,16
138,17,83,16
139,17,69,13
140,17,89,16
141,17,90,16
142,17,65,12
143,17,77,15
144,17,92,17
145,17,78,15
146,17,70,13
147,17,77,17
148,17,86,15
149,17,91,19
150,17,86,17
151,17,90,18
152,17,86,16
153,17,89,19
154,17,83,19
155,17,77,13
156,17,90,18
157,17,86,18
158,17,92,14
159,17,83,14
160,17,87,15
161,17,90,19
162,17,83,17
163,17,77,16
164,17,90,18
165,17,87,18
166,17,66,11
167,17,89,17
168,17,89,20
169,17,86,17
170,17,70,14
171,17,89,24
172,17,57,12
173,17,82,17
174,17,89,16
125,18,83,13
126,18,81,13
127,18,79,17
128,18,86,14
129,18,88,16
130,18,77,13
131,18,79,13
132,18,89,15
133,18,91,16
134,18,85,16
135,18,75,13
136,18,64,12
137,18,85,16
138,18,83,16
139,18,75,14
140,18,90,16
141,18,90,16
142,18,65,12
143,18,78,14
144,18,92,16
145,18,79,15
146,18,70,13
147,18,78,17
148,18,86,15
149,18,91,19
150,18,87,17
151,18,90,18
152,18,86,15
153,18,89,19
154,18,83,18
155,18,77,13
156,18,90,18
157,18,86,17
158,18,92,14
159,18,83,14
160,18,87,14
161,18,90,18
162,18,87,17
163,18,77,16
164,18,90,17
165,18,87,17
166,18,70,12
167,18,89,17
168,18,89,19
169,18,86,17
170,18,70,14
171,18,89,23
172,18,57,11
173,18,82,17
174,18,89,15
125,19,83,12
126,19,86,14
127,19,83,16
128,19,86,14
129,19,88,16
130,19,83,14
131,19,79,13
132,19,89,14
133,19,91,16
134,19,87,16
135,19,75,13
136,19,68,13
137,19,85,15
138,19,83,15
139,19,75,14
140,19,92,15
141,19,90,15
142,19,65,11
143,19,84,15
144,19,92,16
145,19,83,15
146,19,77,13
147,19,78,16
148,19,86,14
149,19,91,19
150,19,87,16
151,19,90,17
152,19,86,15
153,19,89,17
154,19,83,17
155,19,78,13
156,19,90,16
157,19,86,17
158,19,92,13
159,19,83,14
160,19,87,14
161,19,90,17
162,19,89,17
163,19,80,16
164,19,90,17
165,19,88,16
166,19,71,11
167,19,89,16
168,19,90,19
169,19,88,16
170,19,71,14
171,19,90,22
172,19,57,11
173,19,83,16
174,19,89,15
125,20,83,12
126,20,86,13
127,20,83,15
128,20,86,13
129,20,89,16
130,20,83,13
131,20,79,13
132,20,89,14
133,20,91,16
134,20,87,15
135,20,75,13
136,20,68,12
137,20,87,15
138,20,83,14
139,20,75,13
140,20,92,14
141,20,90,15
142,20,66,11
143,20,87,15
144,20,92,15
145,20,83,14
146,20,81,13
147,20,78,16
148,20,86,14
149,20,91,17
150,20,87,15
151,20,90,16
152,20,86,14
153,20,89,16
154,20,83,17
155,20,78,13
156,20,90,15
157,20,86,16
158,20,92,12
159,20,83,13
160,20,87,13
161,20,91,17
162,20,89,16
163,20,80,15
164,20,90,16
165,20,88,16
166,20,72,11
167,20,89,15
168,20,90,18
169,20,88,16
170,20,72,13
171,20,90,21
172,20,58,11
173,20,83,15
174,20,89,14
125,21,84,11
126,21,86,13
127,21,83,15
128,21,86,12
129,21,89,15
130,21,84,13
131,21,79,12
132,21,91,14
133,21,91,15
134,21,87,15
135,21,75,12
136,21,68,12
137,21,87,14
138,21,83,13
139,21,75,12
140,21,92,14
141,21,90,15
142,21,66,11
143,21,87,14
144,21,92,15
145,21,83,13
146,21,81,13
147,21,78,15
148,21,86,13
149,21,91,17
150,21,87,15
151,21,90,16
152,21,86,14
153,21,89,16
154,21,83,16
155,21,78,12
156,21,90,15
157,21,86,15
158,21,92,12
159,21,83,13
160,21,87,13
161,21,91,17
162,21,89,15
163,21,80,13
164,21,90,16
165,21,88,15
166,21,72,11
167,21,89,15
168,21,90,17
169,21,88,15
170,21,73,13
171,21,90,20
172,21,58,11
173,21,83,15
174,21,89,14
125,22,86,11
126,22,86,12
127,22,83,14
128,22,86,12
129,22,89,14
130,22,84,12
131,22,79,12
132,22,91,13
133,22,91,14
134,22,87,14
135,22,75,12
136,22,71,12
137,22,87,14
138,22,83,13
139,22,75,12
140,22,93,13
141,22,90,14
142,22,67,11
143,22,88,14
144,22,92,14
145,22,83,13
146,22,82,12
147,22,78,14
148,22,86,13
149,22,91,16
150,22,89,14
151,22,90,16
152,22,86,13
153,22,91,16
154,22,86,16
155,22,78,11
156,22,90,14
157,22,86,15
158,22,92,12
159,22,83,12
160,22,87,13
161,22,91,16
162,22,89,15
163,22,83,13
164,22,90,15
165,22,88,14
166,22,72,10
167,22,90,15
168,22,90,17
169,22,88,15
170,22,76,13
171,22,90,19
172,22,60,11
173,22,83,14
174,22,89,14
125,23,86,11
126,23,87,12
127,23,83,14
128,23,86,12
129,23,89,14
130,23,84,11
131,23,79,12
132,23,92,13
133,23,91,14
134,23,87,14
135,23,80,12
136,23,71,11
137,23,87,14
138,23,83,12
139,23,75,11
140,23,93,13
141,23,90,14
142,23,77,12
143,23,88,13
144,23,92,13
145,23,85,13
146,23,83,12
147,23,78,14
148,23,86,13
149,23,91,16
150,23,89,14
151,23,90,15
152,23,86,13
153,23,91,15
154,23,86,15
155,23,78,11
156,23,90,14
157,23,86,14
158,23,92,12
159,23,83,12
160,23,87,12
161,23,91,16
162,23,89,15
163,23,83,13
164,23,90,15
165,23,88,14
166,23,72,10
167,23,90,15
168,23,90,16
169,23,88,14
170,23,80,14
171,23,90,18
172,23,60,11
173,23,87,14
174,23,89,13
125,24,86,11
126,24,88,12
127,24,83,14
128,24,86,12
129,24,89,14
130,24,84,11
131,24,80,12
132,24,92,12
133,24,91,14
134,24,87,14
135,24,83,12
136,24,72,11
137,24,87,13
138,24,84,12
139,24,75,11
140,24,93,13
141,24,91,14
142,24,86,13
143,24,88,13
144,24,93,13
145,24,85,13
146,24,83,12
147,24,78,14
148,24,86,12
149,24,91,16
150,24,89,14
151,24,90,15
152,24,86,13
153,24,92,15
154,24,86,15
155,24,78,11
156,24,91,14
157,24,89,14
158,24,92,12
159,24,83,11
160,24,87,12
161,24,91,16
162,24,89,15
163,24,86,13
164,24,90,15
165,24,88,13
166,24,73,10
167,24,90,15
168,24,90,16
169,24,89,14
170,24,80,13
171,24,90,18
172,24,65,11
173,24,87,14
174,24,89,13
